asset,model,horizon,n_origins,log_rmse,coverage,wilson_lo,wilson_hi
guitars,ARIMA-G,1,66,0.014730589555133958,0.9393939393939394,0.8542688489926583,0.9761817706953214
guitars,ARIMA-G,50,66,0.11496867158948745,0.8636363636363636,0.7607018517959349,0.9265676265665311
guitars,ARIMA-G,100,66,0.16130207574248662,0.8636363636363636,0.7607018517959349,0.9265676265665311
guitars,ARIMA-G,200,66,0.23720059243188252,0.8939393939393939,0.7968747426118539,0.9476671922808175
guitars,ARIMA-t,1,66,0.014730589555133958,0.9545454545454546,0.8746648398478928,0.9844220081051896
guitars,ARIMA-t,50,66,0.11496867158948745,0.9242424242424242,0.834605945487485,0.9672084459353918
guitars,ARIMA-t,100,66,0.16130207574248662,0.8939393939393939,0.7968747426118539,0.9476671922808175
guitars,ARIMA-t,200,66,0.23720059243188252,0.9393939393939394,0.8542688489926583,0.9761817706953214
guitars,RW-G,1,66,0.014804600526216332,0.9393939393939394,0.8542688489926583,0.9761817706953214
guitars,RW-G,50,66,0.11786003861819729,0.8939393939393939,0.7968747426118539,0.9476671922808175
guitars,RW-G,100,66,0.167437723927181,0.8787878787878788,0.7786234136612515,0.9372822929663172
guitars,RW-G,200,66,0.25620597810972984,0.8939393939393939,0.7968747426118539,0.9476671922808175
guitars,RW-t,1,66,0.014804600526216332,0.9696969696969697,0.8960728112941316,0.9916502649240535
guitars,RW-t,50,66,0.11786003861819729,0.9090909090909091,0.8155105617491718,0.9576676014086023
guitars,RW-t,100,66,0.167437723927181,0.9090909090909091,0.8155105617491718,0.9576676014086023
guitars,RW-t,200,66,0.25620597810972984,0.9393939393939394,0.8542688489926583,0.9761817706953214
gurkor,ARIMA-G,1,66,0.0031083397642441496,0.9696969696969697,0.8960728112941316,0.9916502649240535
gurkor,ARIMA-G,50,66,0.025788432261010137,0.9696969696969697,0.8960728112941316,0.9916502649240535
gurkor,ARIMA-G,100,66,0.039684991582406876,0.9393939393939394,0.8542688489926583,0.9761817706953214
gurkor,ARIMA-G,200,66,0.05920386916443204,0.9242424242424242,0.834605945487485,0.9672084459353918
gurkor,ARIMA-t,1,66,0.0031083397642441496,0.9848484848484849,0.9190388760177447,0.9973204284655434
gurkor,ARIMA-t,50,66,0.025788432261010137,0.9848484848484849,0.9190388760177447,0.9973204284655434
gurkor,ARIMA-t,100,66,0.039684991582406876,0.9545454545454546,0.8746648398478928,0.9844220081051896
gurkor,ARIMA-t,200,66,0.05920386916443204,0.9393939393939394,0.8542688489926583,0.9761817706953214
gurkor,RW-G,1,66,0.00313801427971033,0.9696969696969697,0.8960728112941316,0.9916502649240535
gurkor,RW-G,50,66,0.024521524895306127,0.9696969696969697,0.8960728112941316,0.9916502649240535
gurkor,RW-G,100,66,0.036436489643295884,0.9393939393939394,0.8542688489926583,0.9761817706953214
gurkor,RW-G,200,66,0.049636494868756424,0.9242424242424242,0.834605945487485,0.9672084459353918
