asset,model,origin,u_pit
guitars,RW-G,1200,0.8792789809166555
guitars,RW-t,1200,0.8699834524826626
guitars,ARIMA-G,1200,0.9968142260563038
guitars,ARIMA-t,1200,0.99140694687084
guitars,RW-G,1250,0.468629754496089
guitars,RW-t,1250,0.4692631482112739
guitars,ARIMA-G,1250,0.7928107810292178
guitars,ARIMA-t,1250,0.7844988513717276
guitars,RW-G,1300,0.2708054760441395
guitars,RW-t,1300,0.2762014471343815
guitars,ARIMA-G,1300,0.6190844088134889
guitars,ARIMA-t,1300,0.6164529041893466
guitars,RW-G,1350,0.0940925315641569
guitars,RW-t,1350,0.1053477690795914
guitars,ARIMA-G,1350,0.3901178518603614
guitars,ARIMA-t,1350,0.3924630213967282
guitars,RW-G,1400,0.0266383155644057
guitars,RW-t,1400,0.0373343857281357
guitars,ARIMA-G,1400,0.151164566179617
guitars,ARIMA-t,1400,0.1609541719533899
guitars,RW-G,1450,0.5024606607903194
guitars,RW-t,1450,0.50241092722518
guitars,ARIMA-G,1450,0.8020365233193362
guitars,ARIMA-t,1450,0.7935046783935975
guitars,RW-G,1500,0.4121146173308337
guitars,RW-t,1500,0.4143030878638933
guitars,ARIMA-G,1500,0.6785763079266026
guitars,ARIMA-t,1500,0.673589353345137
guitars,RW-G,1550,0.418380795520111
guitars,RW-t,1550,0.4204142229628535
guitars,ARIMA-G,1550,0.6839345730735533
guitars,ARIMA-t,1550,0.6787588436886256
guitars,RW-G,1600,0.807178849847447
guitars,RW-t,1600,0.7971986917926849
guitars,ARIMA-G,1600,0.9623372960816272
guitars,ARIMA-t,1600,0.9471434571810888
guitars,RW-G,1650,0.913323248036845
guitars,RW-t,1650,0.8988561991273928
guitars,ARIMA-G,1650,0.9825601749750452
guitars,ARIMA-t,1650,0.9696508979497775
guitars,RW-G,1700,0.8495701561466324
guitars,RW-t,1700,0.8379610782865883
guitars,ARIMA-G,1700,0.956985463785589
guitars,ARIMA-t,1700,0.9420996532608552
guitars,RW-G,1750,0.7358775348984836
guitars,RW-t,1750,0.7292598152526157
guitars,ARIMA-G,1750,0.906112777561811
guitars,ARIMA-t,1750,0.8921187677467435
guitars,RW-G,1800,0.1681087631307483
guitars,RW-t,1800,0.1788201064675145
guitars,ARIMA-G,1800,0.3377103534821971
guitars,ARIMA-t,1800,0.3419216465008923
guitars,RW-G,1850,0.0218434166131377
guitars,RW-t,1850,0.0345692934955124
guitars,ARIMA-G,1850,0.0824579539754967
guitars,ARIMA-t,1850,0.0965866195709245
guitars,RW-G,1900,0.0260798166700968
guitars,RW-t,1900,0.0390473347379851
guitars,ARIMA-G,1900,0.0551181631592803
guitars,ARIMA-t,1900,0.0694320004732007
guitars,RW-G,1950,0.0223586398292232
guitars,RW-t,1950,0.0347983234789932
guitars,ARIMA-G,1950,0.1323198571282002
guitars,ARIMA-t,1950,0.144235116794509
guitars,RW-G,2000,0.0502861584327087
guitars,RW-t,2000,0.0639549224693116
guitars,ARIMA-G,2000,0.1409198815718634
guitars,ARIMA-t,2000,0.1522404823018051
guitars,RW-G,2050,0.014814129405132
guitars,RW-t,2050,0.0254545309871996
guitars,ARIMA-G,2050,0.0189467702307949
guitars,ARIMA-t,2050,0.0305289241570133
guitars,RW-G,2100,0.1068537482599285
guitars,RW-t,2100,0.1188751768307026
guitars,ARIMA-G,2100,0.1643503733699892
guitars,ARIMA-t,2100,0.174266994998978
guitars,RW-G,2150,0.0479673857903267
guitars,RW-t,2150,0.0609577546040249
guitars,ARIMA-G,2150,0.1267501067062894
guitars,ARIMA-t,2150,0.1381352068701056
guitars,RW-G,2200,0.087767781820696
guitars,RW-t,2200,0.1000596362665926
guitars,ARIMA-G,2200,0.176423015846504
guitars,ARIMA-t,2200,0.1856176543216866
guitars,RW-G,2250,0.1290417023352265
guitars,RW-t,2250,0.1409669727915722
