lookback,top_k,sharpe,max_dd_%
30,2,0.28331054385842996,-34.555992745855455
30,3,0.2196674870598983,-30.456616333624897
30,4,-0.03730004834127291,-38.75944411609319
60,2,0.23045530674189244,-39.107062890088116
60,3,0.22271007823241737,-36.0020674946543
60,4,0.05844375286635374,-35.05586176993252
90,2,0.26815463864138,-35.594831866880185
90,3,0.16336768796892398,-30.47353869484899
90,4,0.025103154210352953,-35.19008245151808
120,2,0.02615061537952418,-43.86680052588036
120,3,0.10660722865265715,-32.0326471030727
120,4,0.12513470861809628,-28.584990466788064
