strategy,parameter,value,sharpe,max_dd_pct,wf_positive
MA crossover,"(short,long)","(10,50)",0.1954471946749656,-11.417523965578136,4
MA crossover,"(short,long)","(20,100)",0.2397001063672378,-15.106180244641065,4
MA crossover,"(short,long)","(50,200)",0.20728155411860302,-13.134808124330844,5
Inverse-vol,vol_window,30,-0.008828486029831509,-18.51803302423476,2
Inverse-vol,vol_window,60,0.021810120660138127,-16.610296504092148,3
Inverse-vol,vol_window,120,-0.00854060684759353,-16.056709382462753,2
Momentum,lookback,40,0.21050676349335448,-37.96472748474567,4
Momentum,lookback,60,0.2223574382629095,-36.0020674946543,4
Momentum,lookback,90,0.1633676879689026,-30.473538694848944,3
Momentum,top_k,2,0.2300197235296626,-39.107062890088116,4
Momentum,top_k,3,0.2223574382629095,-36.0020674946543,4
Momentum,top_k,4,0.0581417394609863,-35.05586176993255,2
V4 lead-lag,target_vol_ann,0.20,4.560408892221493,-18.838528992041436,5
V4 lead-lag,target_vol_ann,0.30,4.570694167404829,-27.12522675916992,5
V4 lead-lag,target_vol_ann,0.40,4.542945749737534,-32.9122452096149,5
V4 lead-lag,lev_cap,1.5,4.542945749737533,-25.747425665255964,5
V4 lead-lag,lev_cap,2.0,4.570694167404829,-27.12522675916992,5
V4 lead-lag,lev_cap,3.0,4.560408892221492,-27.125226759169752,5
V4 lead-lag,ref_window,10,4.533061191886698,-27.02419331966537,5
V4 lead-lag,ref_window,20,4.570694167404829,-27.12522675916992,5
V4 lead-lag,ref_window,40,4.589980140179226,-23.767551596393943,5
