strategy,parameter,value,sharpe,max_dd_pct,wf_positive_count
MA crossover,"(short,long)","(10,50)",0.19544719469014354,-11.417523965578136,4
MA crossover,"(short,long)","(20,100)",0.23970010637100717,-15.106180244641077,4
MA crossover,"(short,long)","(50,200)",0.20728155411859384,-13.134808124330831,5
Inverse-vol,vol_window,30,-0.008828486037311685,-18.518033024234725,2
Inverse-vol,vol_window,60,0.021810120664542226,-16.610296504092158,3
Inverse-vol,vol_window,120,-0.008540606843826482,-16.056709382462763,2
Momentum,lookback,40,0.21050676350668054,-37.964727484745644,4
Momentum,lookback,60,0.22235743826290744,-36.0020674946543,4
Momentum,lookback,90,0.16336768796892398,-30.47353869484899,3
Momentum,top_k,2,0.23001972354754682,-39.10706289008811,4
Momentum,top_k,3,0.22235743826290744,-36.0020674946543,4
Momentum,top_k,4,0.05814173947215999,-35.05586176993253,2
V4 lead-lag,target_vol_ann,0.2,4.5604088922214965,-18.83852899204158,5
V4 lead-lag,target_vol_ann,0.3,4.570694167404834,-27.125226759169884,5
V4 lead-lag,target_vol_ann,0.4,4.542945749737535,-32.912245209615044,5
V4 lead-lag,lev_cap,1.5,4.542945749737536,-25.747425665256053,5
V4 lead-lag,lev_cap,2.0,4.570694167404834,-27.125226759169884,5
V4 lead-lag,lev_cap,3.0,4.5604088922214965,-27.125226759169852,5
V4 lead-lag,ref_window,10,4.533061191886701,-27.024193319665567,5
V4 lead-lag,ref_window,20,4.570694167404834,-27.125226759169884,5
V4 lead-lag,ref_window,40,4.5899801401792235,-23.767551596393975,5
